"","X","country","sex","bc_cate","education","TotalN","ChildlessN","NeverInUnionN","prop_childless","prop_neverinunion","continent"
"521",852,"Gabon","Women","1950-1959","Low",229,8,3,3.5,37.5,"Africa"
"522",854,"Gabon","Women","1960-1969","High",501,11,1,2.2,9.1,"Africa"
"523",855,"Gabon","Women","1960-1969","Low",516,34,10,6.6,29.4,"Africa"
"524",857,"Gabon","Women","1970-1979","High",331,23,9,6.9,39.1,"Africa"
"525",858,"Gabon","Women","1970-1979","Low",591,67,33,11.3,49.3,"Africa"
"526",860,"Gambia","Men","1970-1979","High",540,19,2,3.5,10.5,"Africa"
"527",861,"Gambia","Men","1970-1979","Low",1193,24,1,2,4.2,"Africa"
"528",862,"Gambia","Men","1980-1989","High",596,41,11,6.9,26.8,"Africa"
"529",863,"Gambia","Men","1980-1989","Low",947,18,4,1.9,22.2,"Africa"
"530",864,"Gambia","Women","1960-1969","High",189,10,5,5.3,50,"Africa"
"531",865,"Gambia","Women","1960-1969","Low",228,2,NA,0.9,NA,"Africa"
"532",866,"Gambia","Women","1970-1979","High",350,28,21,8,75,"Africa"
"533",867,"Gambia","Women","1970-1979","Low",375,11,4,2.9,36.4,"Africa"
"534",868,"Gambia","Women","1980-1989","High",230,45,34,19.6,75.6,"Africa"
"535",869,"Gambia","Women","1980-1989","Low",294,26,13,8.8,50,"Africa"
"536",872,"Georgia","Men","1920-1929","Medium",50,NA,NA,NA,NA,"FSU"
"537",873,"Georgia","Men","1930-1939","High",113,10,5,8.8,50,"FSU"
"538",874,"Georgia","Men","1930-1939","Low",189,12,7,6.3,58.3,"FSU"
"539",875,"Georgia","Men","1930-1939","Medium",207,7,2,3.4,28.6,"FSU"
"540",876,"Georgia","Men","1940-1949","High",144,4,2,2.8,50,"FSU"
"541",877,"Georgia","Men","1940-1949","Low",69,8,1,11.6,12.5,"FSU"
"542",878,"Georgia","Men","1940-1949","Medium",263,16,5,6.1,31.2,"FSU"
"543",879,"Georgia","Men","1950-1959","High",264,23,18,8.7,78.3,"FSU"
"544",881,"Georgia","Men","1950-1959","Medium",490,33,21,6.7,63.6,"FSU"
