"","x","country","sex","bc_cate","education","datasetname","total_n","childless_n","never_in_union_n","prop_childless","prop_neverinunion","hdi","iso3","iso2","continent","year","life_exp","pop","gdp_percap","small_cases","small_cases_n","cont_hdi"
"95",1757,"Lithuania","Men","1960-1969","All","GGS",956.790043,136.738545,68.746396,0.142913846146704,0.502757989709485,0.875,"LTU","LT","FSU",1992,70.4,3700278,9743.510738,1,2,0.807
"96",1763,"Lithuania","Women","1960-1969","All","GGS",908.005486,88.829723,50.662308,0.0978295003385035,0.570330586306117,0.875,"LTU","LT","FSU",1992,70.4,3700278,9743.510738,1,2,0.807
"97",1877,"Moldova","Men","1960-1969","All","DHS",503.933032512665,47.6345050930977,12.8338449597359,0.0945254667184385,0.269423287481485,0.767,"MDA","MD","Europe",1992,67.276,4448083,2839.94394,1,2,0.8774
"98",1880,"Moldova","Women","1960-1969","All","DHS",1885.10748249292,86.9155422449112,22.7963740825653,0.0461064119961858,0.262281906017793,0.767,"MDA","MD","Europe",1992,67.276,4448083,2839.94394,1,2,0.8774
"99",1502,"Bulgaria","Men","1960-1969","All","GGS",1254.75071298842,228.619762164566,153.79895558176,0.182203333138633,0.67272817592668,0.795,"BGR","BG","Europe",1992,71.19,8658506,6302.623438,1,2,0.8774
"100",1507,"Bulgaria","Women","1960-1969","All","GGS",1382.82710808031,121.703687218926,72.7817410425553,0.0880107762624638,0.59802412487004,0.795,"BGR","BG","Europe",1992,71.19,8658506,6302.623438,1,2,0.8774
"101",1434,"Albania","Men","1960-1969","All","DHS",1543.07687552273,116.58545525372,37.3922821134329,0.0755538865905341,0.320728533692798,0.796,"ALB","AL","Europe",1992,71.581,3326498,2497.437901,1,2,0.8774
"102",1438,"Albania","Women","1960-1969","All","DHS",3976.04998636246,33.1012591123581,25.3338781446218,0.00832516171222515,0.765344848624311,0.796,"ALB","AL","Europe",1992,71.581,3326498,2497.437901,1,2,0.8774
"103",1886,"Romania","Men","1960-1969","All","GGS",1017.02121149238,178.135665280614,73.6490014211153,0.175154326446365,0.413443323127333,0.821,"ROU","RO","Europe",1992,69.36,22797027,6598.409903,1,2,0.8774
"104",1892,"Romania","Women","1960-1969","All","GGS",1020.6314052704,103.418242497135,37.2947696246039,0.101327709458182,0.360620802714154,0.821,"ROU","RO","Europe",1992,69.36,22797027,6598.409903,1,2,0.8774
"105",1692,"Hungary","Men","1960-1969","All","GGS",1129.2073969245,266.606457769871,140.953047990799,0.236100523691218,0.528693300116784,0.846,"HUN","HU","Europe",1992,69.17,10348684,10535.62855,1,2,0.8774
"106",1698,"Hungary","Women","1960-1969","All","GGS",1183.07576757669,112.493124902248,45.7706509828568,0.0950853089761691,0.406875095901458,0.846,"HUN","HU","Europe",1992,69.17,10348684,10535.62855,1,2,0.8774
"107",1867,"Poland","Men","1960-1969","All","GGS",1794.30071492566,331.153984845794,224.984135995979,0.184558798918783,0.67939431893216,0.876,"POL","PL","Europe",1992,70.99,38370697,7738.881247,1,2,0.8774
"108",1873,"Poland","Women","1960-1969","All","GGS",1762.66718925353,165.787554232485,97.7291509779877,0.0940549385858224,0.589484243436883,0.876,"POL","PL","Europe",1992,70.99,38370697,7738.881247,1,2,0.8774
