"","country","sex","bc_cate","edu_cate","TotalN","ChildlessN","NeverInUnionN"
"418","Italy","Men","1955-1959","High",83,23,16
"419","Italy","Men","1960-1964","Low",279,93,85
"420","Italy","Men","1960-1964","Medium",270,70,59
"421","Italy","Men","1960-1964","High",72,28,17
"422","Italy","Men","1965-1969","Low",202,75,68
"423","Italy","Men","1965-1969","Medium",179,72,62
"424","Italy","Men","1965-1969","High",62,30,30
"425","Italy","Women","1935-1939","Low",157,23,10
"426","Italy","Women","1935-1939","Medium",18,4,1
"427","Italy","Women","1935-1939","High",12,1,NA
"428","Italy","Women","1940-1944","Low",576,45,20
"429","Italy","Women","1940-1944","Medium",107,22,14
"430","Italy","Women","1940-1944","High",34,11,6
"431","Italy","Women","1945-1949","Low",436,59,34
"432","Italy","Women","1945-1949","Medium",139,26,17
"433","Italy","Women","1945-1949","High",50,18,7
"434","Italy","Women","1950-1954","Low",309,38,19
"435","Italy","Women","1950-1954","Medium",156,41,22
"436","Italy","Women","1950-1954","High",58,11,8
"437","Italy","Women","1955-1959","Low",237,32,14
"438","Italy","Women","1955-1959","Medium",238,41,16
"439","Italy","Women","1955-1959","High",84,31,15
"440","Italy","Women","1960-1964","Low",274,42,25
"441","Italy","Women","1960-1964","Medium",305,70,34
"442","Italy","Women","1960-1964","High",75,27,17
"443","Italy","Women","1965-1969","Low",195,39,27
"444","Italy","Women","1965-1969","Medium",273,78,42
"445","Italy","Women","1965-1969","High",87,40,19
"446","Netherlands","Men","1920-1924","Low",20,2,1
"447","Netherlands","Men","1920-1924","Medium",9,2,2
"448","Netherlands","Men","1920-1924","High",7,NA,NA
"449","Netherlands","Men","1925-1929","Low",64,6,5
"450","Netherlands","Men","1925-1929","Medium",31,5,3
"451","Netherlands","Men","1925-1929","High",39,3,1
"452","Netherlands","Men","1930-1934","Low",78,9,8
"453","Netherlands","Men","1930-1934","Medium",38,5,5
"454","Netherlands","Men","1930-1934","High",50,5,2
"455","Netherlands","Men","1935-1939","Low",109,16,10
"456","Netherlands","Men","1935-1939","Medium",54,6,5
"457","Netherlands","Men","1935-1939","High",80,6,4
"458","Netherlands","Men","1940-1944","Low",99,14,13
"459","Netherlands","Men","1940-1944","Medium",59,10,7
"460","Netherlands","Men","1940-1944","High",112,19,6
"461","Netherlands","Men","1945-1949","Low",121,16,11
"462","Netherlands","Men","1945-1949","Medium",81,19,13
"463","Netherlands","Men","1945-1949","High",153,34,24
"464","Netherlands","Men","1945-1949",NA,1,1,1
"465","Netherlands","Men","1950-1954","Low",133,37,24
"466","Netherlands","Men","1950-1954","Medium",93,20,9
"467","Netherlands","Men","1950-1954","High",170,44,25
"468","Netherlands","Men","1950-1954",NA,1,NA,NA
"469","Netherlands","Men","1955-1959","Low",100,26,17
"470","Netherlands","Men","1955-1959","Medium",111,23,12
"471","Netherlands","Men","1955-1959","High",151,35,20
"472","Netherlands","Men","1955-1959",NA,1,1,1
"473","Netherlands","Men","1960-1964","Low",110,33,17
"474","Netherlands","Men","1960-1964","Medium",143,43,22
"475","Netherlands","Men","1960-1964","High",153,52,34
"476","Netherlands","Men","1960-1964",NA,1,1,1
"477","Netherlands","Men","1965-1969","Low",63,29,18
"478","Netherlands","Men","1965-1969","Medium",84,29,17
"479","Netherlands","Men","1965-1969","High",86,38,25
"480","Netherlands","Men","1965-1969",NA,1,1,1
"481","Netherlands","Women","1920-1924","Low",44,8,2
"482","Netherlands","Women","1920-1924","Medium",12,3,3
"483","Netherlands","Women","1920-1924","High",8,3,2
"484","Netherlands","Women","1920-1924",NA,1,NA,NA
"485","Netherlands","Women","1925-1929","Low",150,17,8
"486","Netherlands","Women","1925-1929","Medium",38,9,6
"487","Netherlands","Women","1925-1929","High",19,9,5
"488","Netherlands","Women","1930-1934","Low",174,28,16
"489","Netherlands","Women","1930-1934","Medium",52,9,7
"490","Netherlands","Women","1930-1934","High",41,11,8
"491","Netherlands","Women","1935-1939","Low",159,11,6
"492","Netherlands","Women","1935-1939","Medium",39,2,1
"493","Netherlands","Women","1935-1939","High",56,11,9
"494","Netherlands","Women","1935-1939",NA,1,NA,NA
"495","Netherlands","Women","1940-1944","Low",186,13,9
"496","Netherlands","Women","1940-1944","Medium",80,9,4
"497","Netherlands","Women","1940-1944","High",69,21,17
"498","Netherlands","Women","1945-1949","Low",247,24,16
"499","Netherlands","Women","1945-1949","Medium",79,8,5
"500","Netherlands","Women","1945-1949","High",107,37,21
"501","Netherlands","Women","1945-1949",NA,1,NA,NA
"502","Netherlands","Women","1950-1954","Low",201,28,14
"503","Netherlands","Women","1950-1954","Medium",119,23,12
"504","Netherlands","Women","1950-1954","High",144,47,24
"505","Netherlands","Women","1950-1954",NA,2,NA,NA
"506","Netherlands","Women","1955-1959","Low",144,15,5
"507","Netherlands","Women","1955-1959","Medium",149,31,20
