country,sex,bc_cate,edu2,total_n,childless_n,never_in_union_n
Bulgaria,Men,1980-1989,NA,0.3521479074125864,0,NA
Bulgaria,Women,1910-1919,High,0.4217489160410679,0,NA
Bulgaria,Women,1920-1929,High,120.79423536372593,16.74905886768977,4.039907455444336
Bulgaria,Women,1920-1929,Low,84.09354987229072,3.2236184219639057,3.0080798864364624
Bulgaria,Women,1920-1929,NA,21.4233561843902,4.417306184768677,1.3746559619903564
Bulgaria,Women,1930-1939,High,577.6688426142922,45.82590926209521,14.865417838096619
Bulgaria,Women,1930-1939,Low,503.59961532964104,33.87203812845036,4.9917856027957885
Bulgaria,Women,1930-1939,NA,107.65694062410704,11.470232435091447,1.7596414764961708
Bulgaria,Women,1940-1949,High,598.9698508607427,45.29740291409695,18.44713230991859
Bulgaria,Women,1940-1949,Low,559.1447545226846,18.978376622036087,4.266976471674424
Bulgaria,Women,1940-1949,NA,49.65148616965013,2.5942472219467163,1.2188055515289307
Bulgaria,Women,1950-1959,High,466.20334054707,39.47642252571692,23.78949164539027
Bulgaria,Women,1950-1959,Low,511.7020720068904,25.19335526576735,9.004958615574429
Bulgaria,Women,1950-1959,NA,26.39186865888649,2.2932684421539307,0.917826771736145
Bulgaria,Women,1960-1969,High,747.7092542787569,81.51268864094678,51.767369443384155
Bulgaria,Women,1960-1969,Low,715.117092991545,42.215047587286435,24.184788790149767
Bulgaria,Women,1960-1969,NA,24.35888976959638,5.0458731055259705,4.205003440380096
Bulgaria,Women,1970-1979,High,22.126310092008758,2.7862524563302777,1.3256755063421224
Bulgaria,Women,1970-1979,Low,41.49629249029756,3.9410612508554674,2.1369914854829215
Bulgaria,Women,1980-1989,High,7.029260070773516,1.9382668559486298,1.1484400494689915
Bulgaria,Women,1980-1989,Low,4.39869751577518,1.1280499180037928,0.5383505130630777
Bulgaria,Women,1980-1989,NA,0.761292518218255,0,NA
Burkina Faso,Men,1950-1959,High,128.4032136797905,0.9474790096282959,0
Burkina Faso,Men,1950-1959,Low,556.7259248495102,4.7203338742256165,0
Burkina Faso,Men,1960-1969,High,255.5545668900013,5.52998811006546,3.525950014591217
Burkina Faso,Men,1960-1969,Low,1037.2441060245037,9.085877925157547,0
Burkina Faso,Men,1970-1979,High,270.476404517889,24.834008753299713,16.007163852453232
Burkina Faso,Men,1970-1979,Low,695.052548468113,35.062221854925156,12.477914988994598
Burkina Faso,Women,1960-1969,High,315.28848296403885,9.438211977481842,5.565903961658478
